Reference area,Frequency of observation,Measure,Unit of measure,Price base,TIME_PERIOD,OBS_VALUE
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2000,2.56919773
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2001,1.677928151
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2002,2.503863089
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2003,3.918507467
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2004,5.332941672
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2005,4.706559004
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2006,6.716868591
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2007,6.738194706
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2008,3.283446242
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2009,1.139648639
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2010,4.494658967
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2011,6.947891888
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2012,3.912635806
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2013,5.133993539
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2014,4.49903004
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2015,2.955901323
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2016,2.087382449
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2017,1.359360874
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2018,2.564324373
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2019,3.186855378
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2020,-7.185914203
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2021,10.80119825
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2022,7.288883909
Colombia,Annual,Gross domestic product,Percent per annum,Constant prices,2023,0.610430134
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,1996,1.350458745
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,1997,5.476165395
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,1998,7.155309483
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,1999,4.214809927
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2000,3.868718003
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2001,3.491170388
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2002,3.416876461
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2003,4.317179361
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2004,4.424600619
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2005,3.976665207
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2006,7.32669674
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2007,8.215130803
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2008,4.738175843
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2009,-0.873456636
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2010,5.360343618
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2011,4.403159942
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2012,4.882592414
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2013,2.494765317
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2014,3.542110556
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2015,3.652080566
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2016,4.204323529
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2017,4.157698824
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2018,2.61590408
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2019,2.417512411
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2020,-4.273354916
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2021,7.935762278
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2022,4.551492481
Costa Rica,Annual,Gross domestic product,Percent per annum,Constant prices,2023,5.111921519
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,1996,4.168584302
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,1997,-0.595838635
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,1998,-0.393150159
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,1999,1.3783608
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2000,4.010669552
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2001,2.917219382
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2002,1.513459564
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2003,3.300837026
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2004,4.736339525
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2005,6.375029004
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2006,6.623172923
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2007,5.488825829
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2008,2.612268158
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2009,-4.798324193
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2010,2.714665056
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2011,1.772380858
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2012,-0.770668024
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2013,-0.041812397
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2014,2.245212016
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2015,4.958758568
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2016,2.580870219
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2017,5.173565235
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2018,2.83030592
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2019,3.565776436
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2020,-5.304879381
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2021,4.029018124
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2022,2.847170671
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2023,-0.055261786
Czechia,Annual,Gross domestic product,Percent per annum,Constant prices,2024,1.133622168
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,1996,2.89575045
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,1997,3.168481476
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,1998,2.326302799
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,1999,2.967305171
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2000,3.724009004
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2001,0.950032275
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2002,0.456530145
