,SPY,AAPL,AMD,TSLA,AMZN,F,CCL,NVDA,T,META,INTC,BAC,AAL,GOOGL,MSFT,CMCSA,Date
377,294.5887756,89.01941681,52.58000183,74.64199829,143.9349976,5.077632427,16.36000061,95.02919769,16.80464745,237.298233,52.97262573,21.3453331,12.81000042,72.09999847,197.9802399,36.47935104,01/07/2020
378,296.2110596,89.01941681,52.34000015,80.57733154,144.5149994,5.137070656,15.88000011,95.8493576,16.90581322,233.1725922,53.26087189,21.37286186,12.5,73.49649811,199.4890289,36.06586075,02/07/2020
379,300.7837219,91.40068054,53.40000153,91.4386673,152.852005,5.255944252,15.60999966,98.11287689,17.13624573,240.0253296,53.63016891,21.71240616,12.80000019,74.98249817,203.7832794,37.05824661,06/07/2020
380,297.681488,91.11709595,52.93000031,92.65733337,150.0059967,5.1965065,14.56999969,98.43696594,17.04070091,240.6047211,52.52225494,21.11590958,11.90999985,74.4960022,201.4137268,36.81933212,07/07/2020
381,299.9584351,93.23922729,53.43000031,91.05867004,154.0554962,5.171034336,15.31999969,101.8696899,17.11938667,243.3218384,52.79247665,21.19850349,11.98999977,75.18000031,205.8433685,36.51610565,08/07/2020
382,298.2507629,93.64019012,57.25999832,92.95200348,159.1315002,4.958758354,14.57999992,104.7913589,16.98625565,244.24086,52.62133789,20.89566994,11.18000031,75.93299866,207.2844391,36.10261154,09/07/2020
383,301.2960815,93.80396271,55.88000107,102.9766693,160,5.179525375,16.15999985,104.4947128,17.32551956,244.810257,53.62116241,22.04277039,11.93999958,76.95050049,206.6557312,37.22364044,10/07/2020
384,298.6871643,93.37123871,53.59000015,99.80400085,155.1999969,5.145561218,15.27999973,100.2368469,17.11276245,238.7466888,52.76546478,22.19877815,11.63000011,75.6115036,200.2724609,37.25120544,13/07/2020
385,302.5578918,94.91638184,54.72000122,101.1200027,154.1999969,5.400291443,15.03999996,103.4751053,17.22776604,239.4759064,53.12574768,22.15289307,11.56999969,76.04299927,201.5103912,37.83928299,14/07/2020
386,305.3375549,95.56916809,55.34000015,103.0673294,150.4434967,5.722950459,17.47999954,101.9818726,17.2565155,240.0253296,53.17079544,22.57502937,13.43999958,75.84400177,201.2106018,38.55600739,15/07/2020
387,304.3319092,94.39318848,54.91999817,100.0426636,149.9949951,5.824843407,15.77999973,101.0595016,17.47502327,240.6746368,53.26987076,21.96018028,12.44999981,75.7460022,197.2257996,38.72140503,16/07/2020
388,305.2142029,94.20249176,55.04000092,100.0559998,148.0984955,5.773896217,15.47000027,101.72509,17.39451981,241.773468,54.04450989,21.30862236,11.90999985,75.84249878,196.2200012,38.75815582,17/07/2020
389,307.6808472,96.18771362,57.45999908,109.5333328,159.8419952,5.655022621,15,104.8087997,17.16451073,245.1598816,55.08036041,21.63898849,11.47000027,78.19200134,204.6537323,38.54682541,20/07/2020
390,308.3354187,94.86016846,57,104.5573349,156.914505,5.672004223,15.18999958,102.9914932,17.39451981,241.4937744,54.67503357,22.40984535,11.47000027,77.79599762,201.8973236,39.11651993,21/07/2020
391,310.0904541,95.12664032,61.79000092,106.1553345,154.9954987,5.807861805,15.14000034,104.0908585,17.34277344,239.6157532,54.9902916,22.30890083,11.35999966,78.24250031,204.7987823,39.11651993,22/07/2020
392,306.3905945,90.79681396,59.56999969,100.8713303,149.3274994,5.926735401,14.80000019,101.0096436,17.19326401,232.3534698,54.40481186,22.51997185,11.77000046,75.83750153,195.891098,39.04301453,23/07/2020
393,304.4172974,90.57189178,69.40000153,94.46666718,150.4454956,5.841825008,14.80000019,101.6552887,17.0035038,230.4654846,45.56853104,22.34560776,11.39000034,75.41049957,194.6918488,39.83324814,24/07/2020
394,306.6372375,92.71846771,68.97000122,102.6399994,152.760498,5.884280205,13.75,103.9188385,16.84249878,233.2525177,44.64976883,22.15289307,11.39000034,76.47149658,197.1581726,40.02621078,27/07/2020
395,304.6924438,91.19532776,67.61000061,98.43267059,150.0164948,5.952208519,14.32999992,101.8646851,17.07250786,229.8760986,44.35253525,22.35478401,11.77000046,75.18250275,195.3881836,39.7046051,28/07/2020
396,308.4397278,92.94337463,76.08999634,99.9406662,151.6764984,5.875789642,14.64999962,104.3575974,16.99775505,233.0427246,43.29866028,23.18987656,11.39999962,76.17549896,197.3612823,40.33863068,29/07/2020
397,307.3392944,94.06802368,78.19999695,99.16600037,152.5939941,5.722950459,14.34000015,105.8383636,17.0035038,234.2514496,43.22660065,22.79527283,11.18000031,76.91850281,197.2064667,40.127285,30/07/2020
398,309.7679443,103.9158936,77.43000031,95.38400269,158.2339935,5.612567425,13.88000011,105.8458481,17.00925636,253.4011383,42.99241257,22.83197594,11.11999989,74.39749908,198.2800598,39.32785797,31/07/2020
399,311.9215088,106.5343094,77.66999817,99,155.5944977,5.680495262,13.06999969,109.7896194,17.03225517,251.6929626,43.50582504,22.93292427,11.07999992,74.13800049,209.4315491,39.40137482,03/08/2020
400,313.1262817,107.2457809,85.04000092,99.1333313,156.9414978,5.824843407,13.73999977,111.9584351,17.2565155,249.5652161,44.25344849,22.95127678,11.47000027,73.66500092,206.2882385,39.7046051,04/08/2020
401,315.0710754,107.6344986,85.30999756,99.00133514,160.2514954,5.909753323,14.02000046,112.5467606,17.16451073,248.855957,44.06429672,23.29999924,12.56000042,73.95449829,205.9497375,38.85923767,05/08/2020
402,317.1772461,111.3897781,86.70999908,99.305336,161.25,5.884280205,13.77999973,113.0328674,17.15876198,264.9988403,44.04615021,23.37341499,13.03999996,75.24749756,209.2478027,39.39218521,06/08/2020
403,317.4049377,108.8572388,84.84999847,96.84733582,158.3730011,5.824843407,14.22000027,111.6767349,17.26226807,268.1554871,43.55644608,23.96073341,13.02999973,74.91850281,205.5048218,39.33705521,07/08/2020
